Period-6 dynatomic polynomial in u = x^3
Degree: 232
Leading coefficient: 1003405644495656286329734141694663036598497182761122991635195117231778758288712103530633116985679987867648
Constant term: 83076749736557242056487941267521536

All coefficients (lowest to highest degree):
  u^195: 631639890895317093256153651566406193279513507268939955333666944762005427115107480100924323001554356769700659269405414766332851646607466379004526874066944
  u^196: 137616154169408985391117338835648596407674433356069913136344801564368986480029978630469684041325113942580018648180373689015367754424224971929711313682432
  u^197: 28522618331494159171614749726468152409857757887337929326530223493426433736554192119394495719309654536452469305126865393211726282354668649053393298391040
  u^198: 5617957765808053363695227564538119533869443826525359572934657785045027097705541180844734770061182821836918840130004253337923531270888832350251902828544
  u^199: 1050413455679233672844253818995446423497292613205510558485697300760045417908025886370042584756753504122915576093331216386707651282767780923136905576448
  u^200: 186221935857980443431622768950764273669724840903638236546880005065740519409011126583105352184333808505425824667130198766375825326396454268539215282176
  u^201: 31264832228549863119990210703822949053951580785718913320241119200164551196035196256599569607665837387160559125563864437132924714983740479168210534400
  u^202: 4964427293639109782867494764353778564271012295475143818648462184813332077060210268370623582362146188029482386187498111235678875467652465587073843200
  u^203: 744504027949514618445970429765505267124876965743118399031674116255347157079891566563306410249598122127458144225294604035903589069712395097344049152
  u^204: 105294879142462809218732592962473004358220604519633941591394035819269229236983507734294742204633371173675570823700809348334715222206740829390766080
  u^205: 14021792224109427496254750930263677926596426851730432097381138422377716770349633195243619341756410388767014329884620428586168938644495994185580544
  u^206: 1755178582324721033746423402899856201057462353892124578629540388632325085440978916080862157310981620940973972840320674112246758239606369301823488
  u^207: 206144764802997694045393381446489542595523044478373340507596758124170006710849166985575664823424762341547430376484855296345522873009920293208064
  u^208: 22672964571594874934929555157344190080361860980551157034196764537635303472566454871835549911287479236891928633220329920131024994138958701002752
  u^209: 2330311379604487968712541879068758360603802730767458471521575116844740677963360494277538969791362467727168757607103737754713974533695102517248
  u^210: 223304942542980001607230075657841215092324278973959667649311456496481885204443001702286547217666750827291418970716754257626284839708261351424
  u^211: 19901466263641549264685224132465661352523168404051773379888628102151878500109752822126468629669485173703662999385490307001057874063904473088
  u^212: 1645131564711489567189184891216573642973869893531719233511353684348488018733855842040688933385491724708357297572025645245240194111333466112
  u^213: 125765169060655498082447772316216911577748872827638298813630304727224194662883229977933758860369711256930893886180327584629446859231854592
  u^214: 8862410224244994137011149155446211182006462620735222633570066744150268827092254092340642324584390668589764919661355803177191829332295680
  u^215: 573607124933413336804984038890393075147559799014209690738024765945245127813894114014476184273968489411807740225227444073474857642229760
  u^216: 33963713702824792352227773985111628278667375307347161824528353072191423095350347034269167891373373309126543755162249725711604095385600
  u^217: 1831543309866632453197600165709550568874267920964897013481333847353577677720143067252698379577451780412378232802895569010010007535616
  u^218: 89504032194178239649469877491404318780176017223321407133787971464799850486509680088563983934029874748447821463092611079686708002816
  u^219: 3941155596247109436990617542135575706980389744533642326983356881783657243783416589296739954456672711594124713405782095725171048448
  u^220: 155360351266373526859197956940689665677467652444479502901183442224857425314308595731056840311727521999439587910706981504838270976
  u^221: 5441750673953752609535446778800213921758363423451294418927128092162299445746888870389757143995498356335259520397464919106125824
  u^222: 167888815622758000998735888783616664827833492754128570378461130891345039488769325560933349642731851522411992259871637755658240
  u^223: 4515427263438342122554477845299118763358690311667598102141802288303545625757528210358709962088880041738656142093602762260480
  u^224: 104561953847478994222382913392010380893469159687427758101292229882797267068614099821560308227670427285558253918049137590272
  u^225: 2053221097741693977589126031799658432891872470726348841933376208482343967986248915092652833584689632469401585553541955584
  u^226: 33542224808522065400569946812634263445312909171445836227021963741453241242371903614334608874897692324627706709383577600
  u^227: 444756010123365560462921326370193855854048448776911648983767016351081151961696475458058459609640259388700908060672000
  u^228: 4630383145202513742482384423366045128216912860617227440880709739589148735949169105275972915022920841732197095309312
  u^229: 36112170254468443900505252288196354851270457647555149894474772510221354840529119578501916804130001078918144065536
  u^230: 196300099375154585833634708977057654405531931232536662386123007580760172634425109739418795587048348597054603264
  u^231: 655593548726157682252630742383015657850534268802189713585237858190999662499017691731535584906671344358260736
  u^232: 1003405644495656286329734141694663036598497182761122991635195117231778758288712103530633116985679987867648
